ticker,name
3402.T,東レ
1878.T,大東建託
9962.T,ミスミグループ本社
6834.T,精工技研
3391.T,ツルハホールディングス
3350.T,メタプラネット
6407.T,ＣＫＤ
1911.T,住友林業
4768.T,大塚商会
4182.T,三菱瓦斯化学
7259.T,アイシン
5805.T,ＳＷＣＣ
3003.T,ヒューリック
5019.T,出光興産
1944.T,きんでん
8354.T,ふくおかフィナンシャルグループ
7701.T,島津製作所
7014.T,名村造船所
7167.T,めぶきフィナンシャルグループ
7173.T,東京きらぼしフィナンシャルグループ
5844.T,京都フィナンシャルグループ
8303.T,ＳＢＩ新生銀行
5076.T,インフロニア・ホールディングス
429A.T,テクセンドフォトマスク
2587.T,サントリービバレッジ＆フード
6586.T,マキタ
6869.T,シスメックス
2871.T,ニチレイ
6254.T,野村マイクロ・サイエンス
6806.T,ヒロセ電機
3088.T,マツキヨココカラ＆カンパニー
2579.T,コカ・コーラ　ボトラーズジャパンホールディングス
8113.T,ユニ・チャーム
2875.T,東洋水産
9532.T,大阪瓦斯
3064.T,ＭｏｎｏｔａＲＯ
6370.T,栗田工業
6779.T,日本電波工業
7731.T,ニコン
6305.T,日立建機
4680.T,ラウンドワン
3289.T,東急不動産ホールディングス
9005.T,東急
3687.T,フィックスターズ
5714.T,ＤＯＷＡホールディングス
1963.T,日揮ホールディングス
5938.T,ＬＩＸＩＬ
6622.T,ダイヘン
5406.T,神戸製鋼所
4183.T,三井化学
4612.T,日本ペイントホールディングス
5110.T,住友ゴム工業
5214.T,日本電気硝子
4324.T,電通グループ
6141.T,ＤＭＧ森精機
7181.T,かんぽ生命保険
7747.T,朝日インテック
3498.T,霞ヶ関キャピタル
7752.T,リコー
4042.T,東ソー
8304.T,あおぞら銀行
8253.T,クレディセゾン
6101.T,ツガミ
2269.T,明治ホールディングス
8804.T,東京建物
6814.T,古野電気
3038.T,神戸物産
4528.T,小野薬品工業
5991.T,日本発條
6302.T,住友重機械工業
6264.T,マルマエ
6368.T,オルガノ
8918.T,ランド
6770.T,アルプスアルパイン
5471.T,大同特殊鋼
4716.T,日本オラクル
3626.T,ＴＩＳ
9831.T,ヤマダホールディングス
2432.T,ディー・エヌ・エー
6330.T,東洋エンジニアリング
9616.T,共立メンテナンス
4203.T,住友ベークライト
4091.T,日本酸素ホールディングス
9023.T,東京地下鉄
2897.T,日清食品ホールディングス
4151.T,協和キリン
8366.T,滋賀銀行
8359.T,八十二長野銀行
9435.T,光通信
3405.T,クラレ
3861.T,王子ホールディングス
4443.T,Ｓａｎｓａｎ
7826.T,フルヤ金属
7762.T,シチズン時計
8377.T,ほくほくフィナンシャルグループ
4061.T,デンカ
8227.T,しまむら
2282.T,日本ハム
6777.T,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ
6966.T,三井ハイテック
4043.T,トクヤマ
3349.T,コスモス薬品
3231.T,野村不動産ホールディングス
6753.T,シャープ
6941.T,山一電機
5105.T,ＴＯＹＯ　ＴＩＲＥ
7649.T,スギホールディングス
6951.T,日本電子
2670.T,エービーシー・マート
2501.T,サッポロホールディングス
4971.T,メック
2267.T,ヤクルト本社
4368.T,扶桑化学工業
6135.T,牧野フライス製作所
3186.T,ネクステージ
7564.T,ワークマン
1721.T,コムシスホールディングス
4536.T,参天製薬
6703.T,沖電気工業
5301.T,東海カーボン
5830.T,いよぎんホールディングス
9508.T,九州電力
3046.T,ジンズホールディングス
7721.T,東京計器
6055.T,ジャパンマテリアル
4088.T,エア・ウォーター
3769.T,ＧＭＯペイメントゲートウェイ
6473.T,ジェイテクト
7966.T,リンテック
8524.T,北洋銀行
6448.T,ブラザー工業
2371.T,カカクコム
7282.T,豊田合成
9506.T,東北電力
1893.T,五洋建設
3994.T,マネーフォワード
9513.T,電源開発
9956.T,バローホールディングス
8252.T,丸井グループ
5021.T,コスモエネルギーホールディングス
3103.T,ユニチカ
2264.T,森永乳業
6103.T,オークマ
4676.T,フジ・メディア・ホールディングス
4022.T,ラサ工業
4208.T,ＵＢＥ
6471.T,日本精工
1969.T,高砂熱学工業
8698.T,マネックスグループ
6740.T,ジャパンディスプレイ
9684.T,スクウェア・エニックス・ホールディングス
5741.T,ＵＡＣＪ
3105.T,日清紡ホールディングス
5233.T,太平洋セメント
6432.T,竹内製作所
4107.T,伊勢化学工業
1808.T,長谷工コーポレーション
8358.T,スルガ銀行
6136.T,オーエスジー
9009.T,京成電鉄
9064.T,ヤマトホールディングス
9007.T,小田急電鉄
3778.T,さくらインターネット
6845.T,アズビル
6465.T,ホシザキ
8050.T,セイコーグループ
1662.T,石油資源開発
4613.T,関西ペイント
4527.T,ロート製薬
4732.T,ユー・エス・エス
7951.T,ヤマハ
9468.T,ＫＡＤＯＫＡＷＡ
8334.T,群馬銀行
AAPL,Apple
MSFT,Microsoft
NVDA,NVIDIA
GOOGL,Alphabet
AMZN,Amazon
META,Meta Platforms
TSLA,Tesla
AVGO,Broadcom
BRK-B,Berkshire Hathaway
JPM,JPMorgan Chase
V,Visa
MA,Mastercard
UNH,UnitedHealth
LLY,Eli Lilly
JNJ,Johnson & Johnson
PG,Procter & Gamble
KO,Coca-Cola
PEP,PepsiCo
COST,Costco
WMT,Walmart
HD,Home Depot
XOM,Exxon Mobil
MRK,Merck
AMD,Advanced Micro Devices
CRM,Salesforce
